dmc,anchor,description,red,green,blue,hexValue
828,9159,Sky Blue Very Light,197,232,237,C5E8ED
829,906,Golden Olive Very Dark,126,107,66,7E6B42
830,277,Golden Olive Dark,141,120,75,8D784B
831,277,Golden Olive Medium,170,143,86,AA8F56
832,907,Golden Olive,189,155,81,BD9B51
833,907,Golden Olive Light,200,171,108,C8AB6C
834,874,Golden Olive Very Light,219,190,127,DBBE7F
838,1088,Beige Brown Very Dark,89,73,55,594937
839,1086,Beige Brown Dark,103,85,65,675541
840,1084,Beige Brown Medium,154,124,92,9A7C5C
841,1082,Beige Brown Light,182,155,126,B69B7E
842,1080,Beige Brown Very Light,209,186,161,D1BAA1
